origin,destination,dist_lb,dist_mid,dist_ub,pax_hold_freight_carried_tonnes,pax_hold_freight_capacity_tonnes,dedicated_freight_carried_tonnes,dedicated_freight_capacity_tonnes
Asia Pacific,Middle East,4000.0,4500.0,5000.0,120862.17802246551,302155.44505616365,33115.349239999996,48699.043
Asia Pacific,Middle East,5000.0,5500.0,6000.0,185368.4438273184,463421.1095682962,214578.24524,315556.243
Asia Pacific,Middle East,6000.0,6500.0,7000.0,150957.19765951094,377392.99414877745,192779.57364,283499.373
Asia Pacific,Middle East,7000.0,7500.0,8000.0,141652.04547506623,354130.11368766555,35483.00588,52180.890999999996
Asia Pacific,Middle East,8000.0,8500.0,9000.0,58753.24513978638,146883.11284946595,15648.18584,23012.038
Asia Pacific,North America,7000.0,7500.0,8000.0,28523.03913255709,65269.19766736844,249863.03443077212,330799.688
Asia Pacific,North America,8000.0,8500.0,9000.0,109272.08253045313,277427.0330237327,517653.2032276215,672604.5730000001
Asia Pacific,North America,9000.0,9500.0,10000.0,99740.2262028186,275316.8325793025,96040.063851728,118005.934
Asia Pacific,North America,10000.0,10500.0,11000.0,323278.086097978,765562.6191096463,230658.9532317697,292997.553
Asia Pacific,North America,11000.0,11500.0,12000.0,185799.48319299522,539347.9754479938,80655.06348342166,105811.541
Asia Pacific,North America,12000.0,12500.0,13000.0,98132.77188613593,378809.0790884353,50052.39179847425,67100.027
Asia Pacific,North America,13000.0,13500.0,14000.0,25031.178958744,92107.23533371449,32043.634847147205,41419.689
Europe,Africa,0.0,500.0,1000.0,6318.7511606895205,52922.05865335188,1038.5449797025558,2111.771
Europe,Africa,1000.0,1500.0,2000.0,26204.503965165444,161294.8596137311,7295.832693528722,12546.148
Europe,Africa,2000.0,2500.0,3000.0,3053.199845529048,52517.306655475746,5455.90617719973,12065.302
Europe,Africa,3000.0,3500.0,4000.0,5987.427938678615,13057.537566399344,5301.26315655978,7968.807000000001
Europe,Africa,4000.0,4500.0,5000.0,38549.46352546952,147070.30896554084,43666.58334621238,74237.076
Europe,Africa,5000.0,5500.0,6000.0,39079.25134657576,158159.95390845172,17592.301740530685,27189.75
Europe,Africa,6000.0,6500.0,7000.0,42220.40221737622,101152.19056007022,10324.33831994422,14869.551
Europe,Africa,8000.0,8500.0,9000.0,27329.61771817826,75005.40515781305,24440.094858582637,36451.21
Europe,Africa,9000.0,9500.0,10000.0,76603.91821330658,165398.45921063883,17007.644523695548,23722.916999999998
Europe,Asia Pacific,0.0,500.0,1000.0,1799.8647585628853,17998.64758562876,319.34421000000003,560.253
Europe,Asia Pacific,1000.0,1500.0,2000.0,1728.6095690878014,17286.095690878014,4381.43325,7686.724999999999
Europe,Asia Pacific,2000.0,2500.0,3000.0,4845.44219138467,48454.421913846694,15494.19999,27182.807
